name,affiliation,homepage,scholarid
Mukesh Saini,IIT Ropar,http://www.iitrpr.ac.in/cse/mukeshsaini,XpWL11EAAAAJ
Mukesh Tiwari,DAIICT,http://www.daiict.ac.in/daiict/people/faculty.html,djHLBSAAAAAJ
Mukulika Maity,IIIT Delhi,http://www.iiitd.ac.in/people/faculty,F5sooVMAAAAJ
Mulagala Sandhya,National Institute of Technology Warangal,https://wsdc.nitw.ac.in/facultynew/facultyprofile/id/16913,43b3kbAAAAAJ
Musti Narasimha Murty,IISc Bangalore,http://www.csa.iisc.ac.in/~mnm,VQZTmpcAAAAJ
Mythili Vutukuru,IIT Bombay,https://www.cse.iitb.ac.in/~mythili,-OpGJpYAAAAJ
N. R. Aravind,IIT Hyderabad,http://www.iith.ac.in/~aravind,5547vIcAAAAJ
N. Raja,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~raja,VOKcfrcAAAAJ
N. Raja 0001,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~raja,VOKcfrcAAAAJ
N. S. Narayanaswamy,IIT Madras,https://www.iitm.ac.in/info/fac/swamy,nGUg9VUAAAAJ
N. Viswanadham,IISc Bangalore,http://lcm.csa.iisc.ernet.in/nv,djtLYqgAAAAJ
Nabanita Das,ISI Kolkata,https://www.isical.ac.in/~ndas,hRgFZIkAAAAJ
Nandini Mukherjee,Jadavpur University,http://jaduniv.edu.in/profile.php?uid=875,cGTTsagAAAAJ
Nandlal L. Sarda,IIT Bombay,https://www.cse.iitb.ac.in/~nls,NOSCHOLARPAGE
Naqueeb Ahmad Warsi,ISI Kolkata,https://acmu.isical.ac.in/naqueeb-ahmad-warsi,NOSCHOLARPAGE
Narasimha Murty Musti,IISc Bangalore,http://www.csa.iisc.ac.in/~mnm,VQZTmpcAAAAJ
Narayanan C. Krishnan,IIT Ropar,http://www.iitrpr.ac.in/cse/ckn,rqkXaRAAAAAJ
Narayanan Chatapuram Krishnan,IIT Ropar,http://www.iitrpr.ac.in/cse/ckn,rqkXaRAAAAAJ
Narendra S. Chaudhari,IIT Indore,http://www.iiti.ac.in/~narendra,EtGuf04AAAAJ
Naresh Babu M.,National Institute of Technology Silchar,http://cs.nits.ac.in/naresh,SO7rzTUAAAAJ
Naresh Jotwani,DAIICT,http://ieee.daiict.ac.in/erte/naresh-jotwani.html,NOSCHOLARPAGE
Naresh Manwani,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/naresh.manwani,qz4eDmgAAAAJ
Naveen Garg 0001,IIT Delhi,http://www.cse.iitd.ernet.in/~naveen,wNRE148AAAAJ
Navneet Goyal,BITS Pilani,http://universe.bits-pilani.ac.in/pilani/goel/profile,YHN0TYMAAAAJ
Neelam Sinha,IIIT Bangalore,http://www.iiitb.ac.in/faculty_page.php?name=NeelamSinha,6A_OhfoAAAAJ
Neeldhara Misra,IIT Gandhinagar,http://www.iitgn.ac.in/faculty/comp/neeldhara.htm,XFgieDYAAAAJ
Neena Goveas,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/neena/profile,if0NqpMAAAAJ
Neeraj Goel,IIT Ropar,http://www.iitrpr.ac.in/cse/neerajgoel,6AERbuMAAAAJ
Neha Karanjkar,IIT Goa,https://www.iitgoa.ac.in/faculty_page.php?id=95,Bp-of9MAAAAJ
Neminath Hubballi,IIT Indore,http://iiti.ac.in/people/~neminath,tER-kV0AAAAJ
Nibaran Das,Jadavpur University,http://nibarancse.jdvu.ac.in,vMx63B4AAAAJ
Nikhil R. Pal,ISI Kolkata,https://www.isical.ac.in/~nikhil,IGIvYfAAAAAJ
Nikhil Ranjan Pal,ISI Kolkata,https://www.isical.ac.in/~nikhil,IGIvYfAAAAAJ
Niloy Ganguly,IIT Kharagpur,http://www.facweb.iitkgp.ac.in/~niloy,hCbFmUUAAAAJ
Nipun Batra 0001,IIT Gandhinagar,https://www.iitgn.ac.in/faculty/comp/nipun.htm,rFGzHlIAAAAJ
Nirmalya Chowdhury,Jadavpur University,http://jaduniv.edu.in/profile.php?uid=871,NOSCHOLARPAGE
Nisheeth Srivastava,IIT Kanpur,http://www.iitk.ac.in/new/nisheeth-srivastava,bXX0fekAAAAJ
Nita Parekh,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/nita,AxoY6h4AAAAJ
Nitin Auluck,IIT Ropar,http://www.iitrpr.ac.in/cse/nitin,pFiwhAIAAAAJ
Nitin Saxena 0001,IIT Kanpur,http://www.cse.iitk.ac.in/users/nitin,1Yl1h_YAAAAJ
Ojaswa Sharma,IIIT Delhi,https://www.iiitd.ac.in/ojaswa,jikZgTsAAAAJ
Om P. Damani,IIT Bombay,https://www.cse.iitb.ac.in/~damani,lcRCUawAAAAJ
P. J. Narayanan,IIIT Hyderabad,https://www.iiit.ac.in/~pjn,3HKjt_IAAAAJ
P. K. Srijith,IIT Hyderabad,https://cse.iith.ac.in/?q=People/Faculty,C1YpEWsAAAAJ
P. Krishna Reddy,IIIT Hyderabad,http://faculty.iiit.ac.in/~pkreddy,XIgl8kUAAAAJ
P. P. Chakrabarti,IIT Kharagpur,http://cse.iitkgp.ac.in/~ppchak,yq-ekN8AAAAJ
P. P. Chakrabarti 0001,IIT Kharagpur,http://cse.iitkgp.ac.in/~ppchak,yq-ekN8AAAAJ
P. Radha Krishna 0001,National Institute of Technology Warangal,https://wsdc.nitw.ac.in/facultynew/facultyprofile/id/16934,JFzGHMIAAAAJ
P. Sateesh Kumar,IIT Roorkee,http://www.iitr.ac.in/departments/CSE/pages/People+Faculty+drpskfec.html,jc0x_v8AAAAJ
P. Sreenivasa Kumar,IIT Madras,http://www.cse.iitm.ac.in/~psk,QcONIzUAAAAJ
P. Ubaidulla,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/pubaidulla,JpIWSI4AAAAJ
P. Venkata Subba Reddy 0001,National Institute of Technology Warangal,https://wsdc.nitw.ac.in/facultynew/facultyprofile/id/16338,LSGPBhoAAAAJ
P. Vijay Kumar,IISc Bangalore,http://ece.iisc.ernet.in/~vijay,Wx5neQQAAAAJ
Pabitra Mitra,IIT Kharagpur,http://cse.iitkgp.ac.in/~pabitra,5bXSZPYAAAAJ
Padmanabhan Rajan,IIT Mandi,https://faculty.iitmandi.ac.in/~padman,3sZ-nzAAAAAJ
